LGA_id,LGA,Deaths per 100k
20570,Ballarat (C),8.85
20660,Banyule (C),18.05
20910,Bayside (C),21.63
21110,Boroondara (C),11.36
21180,Brimbank (C),33.45
21450,Cardinia (S),8.5
21610,Casey (C),18.71
21890,Darebin (C),34.76
22110,East Gippsland (S),11.1
22170,Frankston (C),17.15
22310,Glen Eira (C),16.33
22620,Greater Bendigo (C),4.53
22670,Greater Dandenong (C),24.33
22750,Greater Geelong (C),7.28
22830,Greater Shepparton (C),18.8
23110,Hobsons Bay (C),23.65
23270,Hume (C),17.73
23430,Kingston (C) (Vic.),21.14
23670,Knox (C),12.98
23810,Latrobe (C) (Vic.),9.56
24130,Macedon Ranges (S),26.03
24210,Manningham (C),23.22
24330,Maribyrnong (C),18.23
24410,Maroondah (C),9.06
24600,Melbourne (C),11.03
24650,Melton (C),13.29
24850,Mitchell (S),14.66
24970,Monash (C),26.28
25060,Moonee Valley (C),13.71
25250,Moreland (C),28.91
25340,Mornington Peninsula (S),14.19
25710,Nillumbik (S),11.42
26350,Stonnington (C),11.56
26980,Whitehorse (C),19.74
27070,Whittlesea (C),23.8
27260,Wyndham (C),7.37
27350,Yarra (C),9.23
27450,Yarra Ranges (S),6.02
